phase,iteration,churned,generation,input_target,input_validation,output_target,output_validation,visited_chunks,elapsed_us,candidate_bytes,deep_arrival,reached_end,valid
mutation,134,1,1000277,576004096,0,576004096,61504832,213558,10000.584,0,0,0,1
mutation,135,1,1000279,576004096,0,576004096,61454144,213382,10000.584,0,0,0,1
mutation,136,1,1000281,576004096,0,576004096,61416176,213251,10000.590,0,0,0,1
mutation,137,1,1000283,576004096,0,576004096,61477232,213463,10000.611,0,0,0,1
mutation,138,1,1000285,576004096,0,576004096,61325120,212934,10000.568,0,0,0,1
mutation,139,1,1000287,576004096,0,576004096,61486400,213494,10000.589,0,0,0,1
mutation,140,1,1000289,576004096,0,576004096,61496768,213530,10000.586,0,0,0,1
mutation,141,1,1000291,576004096,0,576004096,61505456,213561,10000.567,0,0,0,1
mutation,142,1,1000293,576004096,0,576004096,61400048,213195,10000.588,0,0,0,1
mutation,143,1,1000295,576004096,0,576004096,61519808,213610,10000.555,0,0,0,1
mutation,144,1,1000297,576004096,0,576004096,61546928,213705,10000.696,0,0,0,1
mutation,145,1,1000299,576004096,0,576004096,61418432,213258,10000.577,0,0,0,1
mutation,146,1,1000301,576004096,0,576004096,61549184,213712,10000.566,0,0,0,1
mutation,147,1,1000303,576004096,0,576004096,61502528,213550,10000.591,0,0,0,1
mutation,148,1,1000305,576004096,0,576004096,61498544,213537,10000.618,0,0,0,1
mutation,149,1,1000307,576004096,0,576004096,61499120,213539,10000.575,0,0,0,1
mutation,150,1,1000309,576004096,0,576004096,61419056,213261,10000.622,0,0,0,1
mutation,151,1,1000311,576004096,0,576004096,61517504,213602,10000.583,0,0,0,1
mutation,152,1,1000313,576004096,0,576004096,61461104,213407,10000.612,0,0,0,1
mutation,153,1,1000315,576004096,0,576004096,61525568,213630,10000.577,0,0,0,1
mutation,154,1,1000317,576004096,0,576004096,61454720,213384,10000.571,0,0,0,1
mutation,155,1,1000319,576004096,0,576004096,61436912,213323,10000.612,0,0,0,1
mutation,156,1,1000321,576004096,0,576004096,61470320,213439,10000.613,0,0,0,1
mutation,157,1,1000323,576004096,0,576004096,61407536,213221,10000.582,0,0,0,1
mutation,158,1,1000325,576004096,0,576004096,61419632,213263,10000.611,0,0,0,1
mutation,159,1,1000327,576004096,0,576004096,61441520,213339,10000.592,0,0,0,1
mutation,160,1,1000329,576004096,0,576004096,61424240,213279,10000.603,0,0,0,1
mutation,161,1,1000331,576004096,0,576004096,61464512,213418,10000.590,0,0,0,1
mutation,162,1,1000333,576004096,0,576004096,61334336,212966,10000.578,0,0,0,1
mutation,163,1,1000335,576004096,0,576004096,61371248,213095,10000.609,0,0,0,1
mutation,164,1,1000337,576004096,0,576004096,61529600,213644,10000.596,0,0,0,1
mutation,165,1,1000339,576004096,0,576004096,61364864,213072,10000.579,0,0,0,1
mutation,166,1,1000341,576004096,0,576004096,61248560,212669,10000.580,0,0,0,1
mutation,167,1,1000343,576004096,0,576004096,61442624,213342,10000.578,0,0,0,1
mutation,168,1,1000345,576004096,0,576004096,61529648,213645,10000.600,0,0,0,1
mutation,169,1,1000347,576004096,0,576004096,61462832,213413,10000.592,0,0,0,1
mutation,170,1,1000349,576004096,0,576004096,61362608,213065,10000.608,0,0,0,1
mutation,171,1,1000351,576004096,0,576004096,61423616,213276,10000.579,0,0,0,1
mutation,172,1,1000353,576004096,0,576004096,61542896,213691,10000.678,0,0,0,1
